"UID","OrganizationIdentifier","OrganizationFormalName","ProviderName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","IR_FLAG","IR_COMMENT","IR_MLID","IR_MLNAME","ASSESS_ID","AU_NAME","AU_Type","Water_Type","R317Descrp","ss_R317Descrp","BEN_CLASS","MLID_Count","Lat_Count","Long_Count","sites100m_count","LatitudeMeasure","LongitudeMeasure","IR_Lat","IR_Long","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ValidationType"
591,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4901100","BEAR R NEAR CORINNE AT U83 XING","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4901100","BEAR R NEAR CORINNE AT U83 XING","UT16010204-008_00","Bear River-2","River/Stream","River / Stream","Bear River and tributaries, from Great Salt Lake to Utah-Idaho border, except as listed below:",NA,"2B,3B,3D,4",1,1,1,0,41.545818426,-112.096139392,41.545818426,-112.096139392,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
592,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4901180","BLACK SLOUGH BL BRIGHAM CY WWTP @ FOREST RD XING","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4901180","BLACK SLOUGH BL BRIGHAM CY WWTP @ FOREST RD XING","UT16010204-002_00","Bear River Lower-East","River/Stream","River / Stream","Bear River and tributaries, from Great Salt Lake to Utah-Idaho border, except as listed below:",NA,"2B,3B,3D,4",1,1,1,0,41.50966,-112.077446978,41.50966,-112.077446978,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
593,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4901190","BOX ELDER CK AB BRIGHAM CITY WWTP","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4901190","BOX ELDER CK AB BRIGHAM CITY WWTP","UT16010204-001_00","Box Elder Creek-1","River/Stream","River / Stream","Box Elder Creek from confluence with Black Slough to Brigham City Reservoir (the Mayor's Pond)",NA,"2B,3C,4",1,1,1,0,41.522302,-112.041171,41.522302,-112.041171,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
594,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4901225","Box Elder Ck BL Confluence Brigham City Discharge","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4901225","Box Elder Ck BL Confluence Brigham City Discharge","UT16010204-001_00","Box Elder Creek-1","River/Stream","River / Stream","Box Elder Creek from confluence with Black Slough to Brigham City Reservoir (the Mayor's Pond)",NA,"2B,3C,4",1,1,1,0,41.524665063,-112.056193574,41.524665063,-112.056193574,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
595,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4901431","SALT CK AT 4600 NORTH","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4901431","SALT CK AT 4600 NORTH","UT16010204-007_00","Middle Bear East","River/Stream","River / Stream","Salt Creek, from confluence with Bear River to Crystal Hot Springs",NA,"2B,3B,3D",1,1,1,0,41.593351133,-112.086641,41.593351133,-112.086641,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
596,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4901432","SALT CK AT 4600 NORTH 4901431 duplicate","River/Stream","Duplicate of 4901431","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT16010204-007_00","Middle Bear East","River/Stream","River / Stream","Salt Creek, from confluence with Bear River to Crystal Hot Springs",NA,"2B,3B,3D",NA,NA,NA,NA,41.593351133,-112.086641,NA,NA,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
597,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4901450","BEAR R AB CNFL/ MALAD R","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4901450","BEAR R AB CNFL/ MALAD R","UT16010204-008_00","Bear River-2","River/Stream","River / Stream","Bear River and tributaries, from Great Salt Lake to Utah-Idaho border, except as listed below:",NA,"2B,3B,3D,4",1,1,1,0,41.591573394,-112.10755542,41.591573394,-112.10755542,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
598,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4901600","BEAR R S OF BEAR R CITY","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4901600","BEAR R S OF BEAR R CITY","UT16010204-008_00","Bear River-2","River/Stream","River / Stream","Bear River and tributaries, from Great Salt Lake to Utah-Idaho border, except as listed below:",NA,"2B,3B,3D,4",1,1,1,0,41.614657221,-112.124393436,41.614657221,-112.124393436,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
599,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4901700","BEAR R AT I-15 XING 2 MI NE OF HONEYVILLE","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4901700","BEAR R AT I-15 XING 2 MI NE OF HONEYVILLE","UT16010204-008_00","Bear River-2","River/Stream","River / Stream","Bear River and tributaries, from Great Salt Lake to Utah-Idaho border, except as listed below:",NA,"2B,3B,3D,4",1,1,1,0,41.651598739,-112.113843136,41.651598739,-112.113843136,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
600,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4901730","Bear River @ SR 102","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4901730","Bear River @ SR 102","UT16010204-008_00","Bear River-2","River/Stream","River / Stream","Bear River and tributaries, from Great Salt Lake to Utah-Idaho border, except as listed below:",NA,"2B,3B,3D,4",1,1,1,0,41.713247353,-112.117046589,41.713247353,-112.117046589,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
601,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4901790","BEAR R. AT HAMPTON'S FORD XING","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4901790","BEAR R. AT HAMPTON'S FORD XING","UT16010204-008_00","Bear River-2","River/Stream","River / Stream","Bear River and tributaries, from Great Salt Lake to Utah-Idaho border, except as listed below:",NA,"2B,3B,3D,4",1,1,1,0,41.787702628,-112.10633983,41.787702628,-112.10633983,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
602,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4901975","WILLOW CK BL BEAVER DAM TOWN AB N CUTLER DAM RD XING","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4901975","WILLOW CK BL BEAVER DAM TOWN AB N CUTLER DAM RD XING","UT16010204-007_00","Middle Bear East","River/Stream","River / Stream","Bear River and tributaries, from Great Salt Lake to Utah-Idaho border, except as listed below:",NA,"2B,3B,3D,4",1,1,1,0,41.811867761,-112.058563142,41.811867761,-112.058563142,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
603,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4901980","BEAR R BL CUTLER RES AT UP L BRIDGE","River/Stream",NA,"REVIEW","Automatically flagged for review","REVIEW",NA,"UT16010204-008_00","Bear River-2","River/Stream","River / Stream","Bear River and tributaries, from Great Salt Lake to Utah-Idaho border, except as listed below:",NA,"2B,3B,3D,4",1,1,1,1,41.834091104,-112.055231998,NA,NA,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
604,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4902000","MALAD R S OF BEAR R CITY","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4902000","MALAD R S OF BEAR R CITY","UT16010204-006_00","Malad River-1","River/Stream","River / Stream","Malad River and tributaries, from confluence with Bear River to state line",NA,"2B,3C",1,1,1,0,41.593266924,-112.128833442,41.593266924,-112.128833442,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
605,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4902040","MALAD R AB BEAR R CITY LAGOONS","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4902040","MALAD R AB BEAR R CITY LAGOONS","UT16010204-006_00","Malad River-1","River/Stream","River / Stream","Malad River and tributaries, from confluence with Bear River to state line",NA,"2B,3C",1,1,1,0,41.60910133,-112.148839548,41.60910133,-112.148839548,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
606,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4902700","MALAD R BL TREMONTON WWTP","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4902700","MALAD R BL TREMONTON WWTP","UT16010204-006_00","Malad River-1","River/Stream","River / Stream","Malad River and tributaries, from confluence with Bear River to state line",NA,"2B,3C",1,1,1,0,41.697151384,-112.161617791,41.697151384,-112.161617791,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
607,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4902720","MALAD R AB TREMONTON WWTP","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4902720","MALAD R AB TREMONTON WWTP","UT16010204-006_00","Malad River-1","River/Stream","River / Stream","Malad River and tributaries, from confluence with Bear River to state line",NA,"2B,3C",1,1,1,0,41.711785065,-112.160979719,41.711785065,-112.160979719,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
608,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4902900","Malad River S of Plymouth at SR13/U191 xing (UT09ST-157)","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4902900","Malad River S of Plymouth at SR13/U191 xing (UT09ST-157)","UT16010204-006_00","Malad River-1","River/Stream","River / Stream","Malad River and tributaries, from confluence with Bear River to state line",NA,"2B,3C",1,1,1,0,41.838422511,-112.147367908,41.838422511,-112.147367908,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
609,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4902940","MALAD RIVER EAST OF PORTAGE","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4902940","MALAD RIVER EAST OF PORTAGE","UT16010204-006_00","Malad River-1","River/Stream","River / Stream","Malad River and tributaries, from confluence with Bear River to state line",NA,"2B,3C",1,1,1,0,41.976309055,-112.216067774,41.976309055,-112.216067774,16010204,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,3,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
610,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903030","NEWTON CK AT QUIGLEY XING 2 BLOCKS NORTH OF U23","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4903030","NEWTON CK AT QUIGLEY XING 2 BLOCKS NORTH OF U23","UT16010202-002_00","Newton Creek","River/Stream","River / Stream","Newton Creek and tributaries, from Cutler Reservoir to Newton Reservoir",NA,"2B,3A,4",1,1,1,0,41.867426562,-111.980892209,41.867426562,-111.980892209,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
611,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903060","THE SLOUGH 2 BLOCKS SOUTH OF U23 XING","River/Stream",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT","UT16010202-014_00","The Slough","Slough","River / Stream","Bear River and tributaries, from Great Salt Lake to Utah-Idaho border, except as listed below:",NA,"2B,3B,3D,4",NA,NA,NA,NA,41.858316161,-111.998150041,NA,NA,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
612,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903080","THE SLOUGH AT U23 XING IN NEWTON","River/Stream",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT","UT16010202-014_00","The Slough","Slough","River / Stream","Bear River and tributaries, from Great Salt Lake to Utah-Idaho border, except as listed below:",NA,"2B,3B,3D,4",NA,NA,NA,NA,41.862586,-111.995593,NA,NA,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
613,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903090","NEWTON CK AT U23 XING","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4903090","NEWTON CK AT U23 XING","UT16010202-002_00","Newton Creek","River/Stream","River / Stream","Newton Creek and tributaries, from Cutler Reservoir to Newton Reservoir",NA,"2B,3A,4",1,1,1,0,41.862422,-111.980405,41.862422,-111.980405,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
614,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903110","NEWTON CK BL NEWTON RES","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4903110","NEWTON CK BL NEWTON RES","UT16010202-002_00","Newton Creek","River/Stream","River / Stream","Newton Creek and tributaries, from Cutler Reservoir to Newton Reservoir",NA,"2B,3A,4",1,1,1,0,41.895014339,-111.972393749,41.895014339,-111.972393749,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
615,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903130","NEWTON RES AB DAM 01","Lake",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4903130","NEWTON RES AB DAM 01","UT-L-16010202-013_00","Newton Reservoir","Reservoir/Lake","Lake / Reservoir","Newton Reservoir",NA,"2B,3A,4",1,1,1,0,41.897150006,-111.974391136,41.897150006,-111.974391136,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
616,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903140","NEWTON RES MIDLAKE 02","Lake",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4903140","NEWTON RES MIDLAKE 02","UT-L-16010202-013_00","Newton Reservoir","Reservoir/Lake","Lake / Reservoir","Newton Reservoir",NA,"2B,3A,4",1,1,1,0,41.906596596,-111.98301079,41.906596596,-111.98301079,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
617,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903180","CLARKSTON CK AT 600 SOUTH AND 600 EAST","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4903180","CLARKSTON CK AT 600 SOUTH AND 600 EAST","UT16010202-013_00","Clarkston Creek","River/Stream","River / Stream","Clarkston Creek and tributaries, from Newton Reservoir to headwaters",NA,"2B,3A,4",1,1,1,0,41.907594758,-112.031447386,41.907594758,-112.031447386,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
618,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903190","CLARKSTON CK AT U142 XING","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4903190","CLARKSTON CK AT U142 XING","UT16010202-013_00","Clarkston Creek","River/Stream","River / Stream","Clarkston Creek and tributaries, from Newton Reservoir to headwaters",NA,"2B,3A,4",1,1,1,0,41.91986776,-112.037783254,41.91986776,-112.037783254,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
619,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903200","CLARKSTON CK AT 500 NORTH IN CLARKSTON","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4903200","CLARKSTON CK AT 500 NORTH IN CLARKSTON","UT16010202-013_00","Clarkston Creek","River/Stream","River / Stream","Clarkston Creek and tributaries, from Newton Reservoir to headwaters",NA,"2B,3A,4",1,1,1,0,41.929064514,-112.044626238,41.929064514,-112.044626238,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
620,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903260","BEAR R AB CUTLER RES AT BRIDGE 1 MI W OF BENSON","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4903260","BEAR R AB CUTLER RES AT BRIDGE 1 MI W OF BENSON","UT16010202-004_00","Bear River-3","River/Stream","River / Stream","Bear River and tributaries, from Great Salt Lake to Utah-Idaho border, except as listed below:",NA,"2B,3B,3D,4",1,1,1,0,41.797703207,-111.930225836,41.797703207,-111.930225836,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
621,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903400","BEAR R BL CNFL / SUMMIT CK  AT 2400 WEST","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4903400","BEAR R BL CNFL / SUMMIT CK  AT 2400 WEST","UT16010202-004_00","Bear River-3","River/Stream","River / Stream","Bear River and tributaries, from Great Salt Lake to Utah-Idaho border, except as listed below:",NA,"2B,3B,3D,4",1,1,1,0,41.836318363,-111.893557648,41.836318363,-111.893557648,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
622,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903500","SUMMIT CK AB CNFL / BEAR R","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4903500","SUMMIT CK AB CNFL / BEAR R","UT16010202-005_00","Summit Creek Lower","River/Stream","River / Stream","Summit Creek and tributaries, from confluence with Bear River to headwaters",NA,"2B,3A,4",1,1,1,0,41.833263986,-111.884386437,41.833263986,-111.884386437,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
623,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903501","SUMMIT CK AB CNFL / BEAR R 4903500 Duplicate","River/Stream","Duplicate of 4903500","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT16010202-005_00","Summit Creek Lower","River/Stream","River / Stream","Summit Creek and tributaries, from confluence with Bear River to headwaters",NA,"2B,3A,4",NA,NA,NA,NA,41.833263986,-111.884386437,NA,NA,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
624,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903510","SUMMIT CK @ USFS BNDY","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4903510","SUMMIT CK @ USFS BNDY","UT16010202-011_00","Summit Creek Upper","River/Stream","River / Stream","Summit Creek and tributaries, from confluence with Bear River to headwaters",NA,"2B,3A,4",1,1,1,0,41.8696817,-111.757965265,41.8696817,-111.757965265,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
625,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903512","SUMMIT CK 1/2 MILE BELOW S FK SUMMIT CK","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4903512","SUMMIT CK 1/2 MILE BELOW S FK SUMMIT CK","UT16010202-011_00","Summit Creek Upper","River/Stream","River / Stream","Summit Creek and tributaries, from confluence with Bear River to headwaters",NA,"2B,3A,4",1,1,1,0,41.88131923,-111.725778668,41.88131923,-111.725778668,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
626,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903560","BEAR R AT AMALGA AT CR 218","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4903560","BEAR R AT AMALGA AT CR 218","UT16010202-004_00","Bear River-3","River/Stream","River / Stream","Bear River and tributaries, from Great Salt Lake to Utah-Idaho border, except as listed below:",NA,"2B,3B,3D,4",1,1,1,0,41.840763096,-111.881334013,41.840763096,-111.881334013,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
627,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903680","BEAR R BL CNFL / CUB R","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4903680","BEAR R BL CNFL / CUB R","UT16010202-004_00","Bear River-3","River/Stream","River / Stream","Bear River and tributaries, from Great Salt Lake to Utah-Idaho border, except as listed below:",NA,"2B,3B,3D,4",1,1,1,0,41.873814328,-111.873557258,41.873814328,-111.873557258,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
628,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903770","CUB R AT U61 XING","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4903770","CUB R AT U61 XING","UT16010202-010_00","Cub River","River/Stream","River / Stream","Cub River and tributaries, from confluence with Bear River to state line, except as listed below:",NA,"2B,3B,4",1,1,1,0,41.976117701,-111.827832448,41.976117701,-111.827832448,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
629,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4903820","BEAR R W OF RICHMOND AT U142 XING","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4903820","BEAR R W OF RICHMOND AT U142 XING","UT16010202-004_00","Bear River-3","River/Stream","River / Stream","Bear River and tributaries, from Great Salt Lake to Utah-Idaho border, except as listed below:",NA,"2B,3B,3D,4",1,1,1,0,41.922147037,-111.906898503,41.922147037,-111.906898503,16010202,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,5,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
